Load,JW_pump,RC_Superheat,RC_Subcool,ORC_Superheat,ORC_Subcool,ORC_Pump,P_chamber,Exergy_eff_WHRS,CO2_red,EPC,rankValue,Time
60,4.15,0.0001,0.0001,25.0,0.0001,6.6,0.2,20.29287644633638,19.81619561767536,0.28005310611052237,74.49563306268132,4.15449595451355
60,4.15,0.0001,0.0001,25.0,0.0001,0.2,0.2,20.29287644633638,19.81619561767536,0.28005310611052237,74.49563306268132,0
65,4.15,0.0001,0.0001,25.0,0.0001,0.2,0.2,19.845248976019263,19.11337173362887,0.2703655397429448,72.55532974578963,0
70,4.15,0.0001,0.0001,25.0,0.0001,0.2,0.2,19.420063279539,18.526495670705668,0.2608857419126866,70.80277268770995,0
75,4.15,0.0001,0.0001,25.0,0.0001,0.2,0.2,19.01698287025885,18.034954173732622,0.2516388238791932,69.21399677290823,0
80,4.15,0.0001,0.0001,25.0,0.0001,0.2,0.2,18.383145452816237,18.197893984818492,0.23757495592524236,67.76404119999754,0
85,4.15,0.0001,0.0001,25.0,0.0001,0.2,0.2,18.440146357934474,17.096007036734285,0.23691202334741757,66.67676456208312,0
90,4.15,0.0001,0.0001,25.0,0.0001,0.2,0.2,17.350624031831007,18.12590948860613,0.2084152239848661,65.02516767222136,0
95,4.15,0.0001,0.0001,25.0,0.0001,0.2,0.2,18.02341499626475,16.208665810376623,0.22597141205797547,64.6096668923396,0
100,4.15,0.0001,0.0001,25.0,0.0001,0.2,0.2,17.7893863882129,15.895619789845373,0.21971839384761024,63.656395727662016,0
