Load,JW_pump,RC_Superheat,RC_Subcool,ORC_Superheat,ORC_Subcool,ORC_Pump,P_chamber,Exergy_eff_WHRS,CO2_red,EPC,rankValue,Time
60,4.15,0.0001,0.0001,25.0,0.0001,6.6,0.2,20.29287644633638,19.81619561767536,0.28005310611052237,74.49563306268132,4.15449595451355
57.5,4.15,0.00010000000000277555,0.0001,25.0,0.0001,6.6,0.2,20.52512434048387,20.219195486222073,0.28496528898506157,75.54532165461411,3.648016929626465
62.5,4.15,0.00010000000000277555,0.0001,25.0,0.0001,6.6,0.2,20.066248121998388,19.448780258555765,0.2751851546629865,73.50029707804322,3.422835111618042
67.5,4.15,0.0001,0.0001,25.0,0.0001,6.6,0.2,19.62986534417789,18.80685296287026,0.265597963157028,71.65720314809977,3.465095043182373
72.5,4.15,0.0001,0.0001,25.0,0.0001,6.6,0.2,19.21579129582873,18.269901616799945,0.2562318272345348,69.98921832282038,3.261586904525757
77.5,4.15,0.0001,0.0001,25.0,0.0001,6.6,0.2,18.693490620180224,18.108827683735452,0.24452796129109738,68.46356640261126,3.573293924331665
82.5,4.15,0.0001,0.0001,25.0,0.0001,6.6,0.2,18.40718583540204,17.643637483886664,0.23713363817005112,67.20520603512068,3.6078341007232666
87.5,4.15,0.0001,0.0001,25.0,0.0001,6.6,0.2,17.865766457391622,17.601175010701386,0.22217570741065448,65.76369096706333,4.040985107421875
92.5,4.15,0.0001,0.0001,25.0,0.0001,6.6,0.2,17.676166258101723,17.14096985745619,0.2170141183818859,64.7599696242277,3.771052837371826
97.5,4.15,0.0001,0.0001,25.0,0.0001,6.6,0.2,17.904888894772565,16.047344647799267,0.22281883977640846,64.12376094692836,4.110167026519775
